what,kind,bundleId,bundleVersion,description,time
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile3525943377610709314.jar",1397937062460
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile6347033645897332020.jar",1397937062941
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile1074304792062326042.jar",1397937063119
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile5149430827463635378.jar",1397937063246
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile939542456720981276.jar",1397937064883
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile5947664761217129775.jar",1397937065442
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile7572631903414940405.jar",1397937065518
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile3404194442957414550.jar",1397937066557
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile3507816920747570623.jar",1397937067151
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile4990703196981511611.jar",1397937067847
error,log,,,"An error occurred while collecting items to be installed",1397937069682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937147113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937159410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937185525
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1397937185553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397937185875
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile8431781492311197252.jar",1397937186023
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile291995771423897746.jar",1397937186035
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile5725282796204384075.jar",1397937186106
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\AMANPR~1\\AppData\\Local\\Temp\\signatureFile6599883878803627029.jar",1397937186206
